Time,RA2,RA1,
7.9800338e-05,4.24000e-01,-0.00000e+00,
8.0000340e-05,4.08000e-01,7.99999e-02,
8.0200341e-05,4.20000e-01,-0.00000e+00,
8.0400343e-05,4.16000e-01,7.99999e-02,
8.0600345e-05,4.12000e-01,-0.00000e+00,
8.0800346e-05,4.12000e-01,7.99999e-02,
8.1000348e-05,4.20000e-01,-0.00000e+00,
8.1200349e-05,4.12000e-01,7.99999e-02,
8.1400351e-05,4.24000e-01,-0.00000e+00,
8.1600352e-05,4.16000e-01,7.99999e-02,
8.1800354e-05,4.24000e-01,-0.00000e+00,
8.2000355e-05,4.20000e-01,7.99999e-02,
8.2200357e-05,4.24000e-01,-0.00000e+00,
8.2400358e-05,4.20000e-01,-0.00000e+00,
8.2600360e-05,4.28000e-01,7.99999e-02,
8.2800361e-05,4.24000e-01,7.99999e-02,
8.3000363e-05,4.28000e-01,7.99999e-02,
8.3200364e-05,4.28000e-01,7.99999e-02,
8.3400366e-05,4.24000e-01,-0.00000e+00,
8.3600367e-05,4.24000e-01,7.99999e-02,
8.3800369e-05,4.32000e-01,-0.00000e+00,
8.4000370e-05,4.32000e-01,7.99999e-02,
8.4200372e-05,4.28000e-01,-0.00000e+00,
8.4400373e-05,4.28000e-01,7.99999e-02,
8.4600375e-05,4.36000e-01,-0.00000e+00,
8.4800376e-05,4.36000e-01,7.99999e-02,
8.5000378e-05,4.32000e-01,-0.00000e+00,
8.5200380e-05,4.48000e-01,7.99999e-02,
8.5400381e-05,4.24000e-01,-0.00000e+00,
8.5600383e-05,4.60000e-01,7.99999e-02,
8.5800384e-05,4.16000e-01,-0.00000e+00,
8.6000386e-05,4.12000e-01,7.99999e-02,
8.6200387e-05,4.68000e-01,-0.00000e+00,
8.6400389e-05,4.12000e-01,7.99999e-02,
8.6600390e-05,4.64000e-01,-0.00000e+00,
8.6800392e-05,4.72000e-01,7.99999e-02,
8.7000393e-05,4.20000e-01,-0.00000e+00,
8.7200395e-05,4.64000e-01,-0.00000e+00,
8.7400396e-05,4.28000e-01,7.99999e-02,
8.7600398e-05,4.60000e-01,7.99999e-02,
8.7800399e-05,4.36000e-01,-0.00000e+00,
8.8000401e-05,4.40000e-01,7.99999e-02,
8.8200402e-05,4.56000e-01,-0.00000e+00,
8.8400404e-05,4.52000e-01,7.99999e-02,
8.8600405e-05,4.40000e-01,-0.00000e+00,
8.8800407e-05,4.48000e-01,7.99999e-02,
8.9000408e-05,4.56000e-01,-0.00000e+00,
8.9200410e-05,4.48000e-01,7.99999e-02,
8.9400412e-05,4.56000e-01,-0.00000e+00,
8.9600413e-05,4.52000e-01,7.99999e-02,
8.9800415e-05,4.60000e-01,-0.00000e+00,
9.0000416e-05,4.60000e-01,7.99999e-02,
9.0200418e-05,4.52000e-01,-0.00000e+00,
9.0400419e-05,4.64000e-01,7.99999e-02,
9.0600421e-05,4.44000e-01,-0.00000e+00,
9.0800422e-05,4.72000e-01,7.99999e-02,
9.1000424e-05,4.48000e-01,-0.00000e+00,
